"Centroid Data for pc board: ""hs-32-spi-3d.brd"" as of: 10/7/2023 3:51 PM",,,,
Measurements are in inches. Comma delimited,,,,
Only surface mount components included,,,,
,,,,
RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,0.535,0.37,270
C2,Top,0.515,0.292,0
C3,Top,0.163,0.09,0
C4,Top,0.028,0.163,90
C5,Top,0.218,0.173,90
C6,Top,0.515,0.247,0
C7,Top,0.221,0.048,90
C8,Top,0.11,0.046,270
R0,Top,0.075,0.64,270
R1,Top,0.263,0.212,90
R2,Top,0.266,0.103,90
R3,Top,0.525,0.152,90
R4,Top,0.041,0.355,270
R5,Top,0.073,0.355,270
S1,Top,0.3,0.825,0
S2,Top,0.388,0.15,180
U1,Top,0.3,0.5,0
U2,Top,0.122,0.212,90
U3,Top,0.166,0.043,0
